Gene,Sample,RPKM
SARO_RS02285,Glu_01_HTSeq,12.9732361043492
SARO_RS02290,Glu_01_HTSeq,0.056904135715638
SARO_RS02295,Glu_01_HTSeq,83.5103643085341
SARO_RS02300,Glu_01_HTSeq,7.07887448302537
SARO_RS02305,Glu_01_HTSeq,4.27173460182565
SARO_RS02310,Glu_01_HTSeq,7.20996475122954
SARO_RS02315,Glu_01_HTSeq,8.03065592612122
SARO_RS02320,Glu_01_HTSeq,4.37273132401334
SARO_RS02325,Glu_01_HTSeq,14.7569013517613
SARO_RS02330,Glu_01_HTSeq,6.16093631992278
SARO_RS02335,Glu_01_HTSeq,6.0331316616693504
SARO_RS02340,Glu_01_HTSeq,58.9906206918781
SARO_RS02345,Glu_01_HTSeq,499.096402944617
SARO_RS02350,Glu_01_HTSeq,10.9672703258139
SARO_RS02355,Glu_01_HTSeq,5.92812148824784
SARO_RS02360,Glu_01_HTSeq,6.25229931883977
SARO_RS02365,Glu_01_HTSeq,24.6808291953014
SARO_RS02370,Glu_01_HTSeq,15.5053328699294
SARO_RS02375,Glu_01_HTSeq,12.1967094133207
SARO_RS02380,Glu_01_HTSeq,1.7265547519574
SARO_RS02385,Glu_01_HTSeq,9.91468865845421
SARO_RS02395,Glu_01_HTSeq,27.3611786758574
SARO_RS02400,Glu_01_HTSeq,9.20662866289427
SARO_RS02410,Glu_01_HTSeq,6.60694951749034
SARO_RS02415,Glu_01_HTSeq,17.4987872590481
SARO_RS02420,Glu_01_HTSeq,3.33365600654101
SARO_RS02425,Glu_01_HTSeq,76.7453587245067
SARO_RS02430,Glu_01_HTSeq,41.3514105243066
SARO_RS02435,Glu_01_HTSeq,22.9278816383703
SARO_RS02440,Glu_01_HTSeq,17.569868321178
SARO_RS02445,Glu_01_HTSeq,51.4282892422801
SARO_RS02455,Glu_01_HTSeq,3.37417168937979
SARO_RS02460,Glu_01_HTSeq,17.6971862075634
SARO_RS02465,Glu_01_HTSeq,83.5929105618241
SARO_RS02470,Glu_01_HTSeq,34.7137114071436
SARO_RS02475,Glu_01_HTSeq,11.4876471873657
SARO_RS02490,Glu_01_HTSeq,410.230608061435
SARO_RS02495,Glu_01_HTSeq,61.0343902276597
SARO_RS02500,Glu_01_HTSeq,882.164929087054
SARO_RS02505,Glu_01_HTSeq,51.7816881474848
SARO_RS02510,Glu_01_HTSeq,213.162607870101
SARO_RS02515,Glu_01_HTSeq,39.9337993605613
SARO_RS02520,Glu_01_HTSeq,11.7598185405237
SARO_RS02525,Glu_01_HTSeq,99.7260357912696
SARO_RS02530,Glu_01_HTSeq,32.9811197504591
SARO_RS02550,Glu_01_HTSeq,4.99151405854353
SARO_RS02555,Glu_01_HTSeq,5.30226979759682
SARO_RS02560,Glu_01_HTSeq,16.0625063570656
SARO_RS02565,Glu_01_HTSeq,7.69656020661345
SARO_RS02570,Glu_01_HTSeq,11.4067171764389
SARO_RS02575,Glu_01_HTSeq,8.68371248694106
SARO_RS02580,Glu_01_HTSeq,46.7711349771319
SARO_RS02585,Glu_01_HTSeq,14.6909334223042
SARO_RS02590,Glu_01_HTSeq,11.0213793107601
SARO_RS02595,Glu_01_HTSeq,8.01854808696679
SARO_RS02605,Glu_01_HTSeq,49.8231593681402
SARO_RS02610,Glu_01_HTSeq,9.29692182103998
SARO_RS02615,Glu_01_HTSeq,10.939678538755
SARO_RS02620,Glu_01_HTSeq,8.97808471017852
SARO_RS02625,Glu_01_HTSeq,2.41648325725765
SARO_RS02630,Glu_01_HTSeq,3.59842786220456
SARO_RS02635,Glu_01_HTSeq,12.443334052193
SARO_RS02645,Glu_01_HTSeq,26.7424147136514
SARO_RS02650,Glu_01_HTSeq,22.9438814126292
SARO_RS02655,Glu_01_HTSeq,3.08646032980089
SARO_RS02660,Glu_01_HTSeq,2.05455459929496
SARO_RS02665,Glu_01_HTSeq,4.66260760737912
SARO_RS02670,Glu_01_HTSeq,3.48141368017641
SARO_RS02675,Glu_01_HTSeq,5.38361004372479
SARO_RS02680,Glu_01_HTSeq,1.43168247971299
SARO_RS02695,Glu_01_HTSeq,6.49863886966263
SARO_RS02700,Glu_01_HTSeq,5.59070200648026
SARO_RS02705,Glu_01_HTSeq,24.4241868127776
SARO_RS02715,Glu_01_HTSeq,26.1029318755562
SARO_RS02720,Glu_01_HTSeq,28.5121333344077
SARO_RS02725,Glu_01_HTSeq,5.53464124638084
SARO_RS02730,Glu_01_HTSeq,18.7762829275368
SARO_RS02735,Glu_01_HTSeq,22.3084248672806
SARO_RS02740,Glu_01_HTSeq,163.664939369562
SARO_RS02745,Glu_01_HTSeq,9.72717681621394
SARO_RS02750,Glu_01_HTSeq,43.8982151382417
SARO_RS02755,Glu_01_HTSeq,27.823383663228
SARO_RS02760,Glu_01_HTSeq,162.680319949251
SARO_RS02765,Glu_01_HTSeq,38.4657848974312
SARO_RS02770,Glu_01_HTSeq,60.2660935717024
SARO_RS02775,Glu_01_HTSeq,34.5095131047486
SARO_RS02780,Glu_01_HTSeq,1.84345689662119
